order,list,item,condition,target_type,target_num,comp_num,Exp1_target,Exp1_competitor,ambiguity,targetID,targetPos,compPos,comp2Pos,destPos,locPhrase,order_of_mention,entities,target_grammatical_status,target_number,sentence,firstDisplay,secondDisplay,expTrials
73,2,27,2,1,2,1,cups,knife,unambiguous,1,6,3,,4,below,1,2,subject,plural,The cups below the knife are on number 6.,E27_2_1.jpg,E27_2_2.jpg,Y
73,3,27,3,2,1,2,cup,knives,unambiguous,1,6,3,,4,below,1,2,subject,singular,The cup below the knives is on number 6.,E27_3_1.jpg,E27_3_2.jpg,Y
73,4,27,4,2,2,2,cups,knives,ambiguous,1,6,3,,4,below,1,2,subject,plural,The cups below the knives are on number 6.,E27_4_1.jpg,E27_4_2.jpg,Y
74,1,X07,9,,,,,,,,2,3,,5,next to,1,2,PP object,plural,"The nails are on number 3, next to the nurse.",X07_9_1.jpg,X07_9_2.jpg,N
74,2,X07,9,,,,,,,,2,3,,5,next to,1,2,PP object,plural,"The nails are on number 3, next to the nurse.",X07_9_1.jpg,X07_9_2.jpg,N
74,3,X07,9,,,,,,,,2,3,,5,next to,1,2,PP object,plural,"The nails are on number 3, next to the nurse.",X07_9_1.jpg,X07_9_2.jpg,N
74,4,X07,9,,,,,,,,2,3,,5,next to,1,2,PP object,plural,"The nails are on number 3, next to the nurse.",X07_9_1.jpg,X07_9_2.jpg,N
75,1,28,2,1,2,1,carrots,spade,unambiguous,15,1,4,,2,above,1,2,subject,plural,The carrots above the spade are on number 1.,E28_2_1.jpg,E28_2_2.jpg,Y
75,2,28,3,2,1,2,carrot,spades,unambiguous,15,1,4,,2,above,1,2,subject,singular,The carrot above the spades is on number 1.,E28_3_1.jpg,E28_3_2.jpg,Y
75,3,28,4,2,2,2,carrots,spades,ambiguous,15,1,4,,2,above,1,2,subject,plural,The carrots above the spades are on number 1.,E28_4_1.jpg,E28_4_2.jpg,Y
75,4,28,1,1,1,1,carrot,spade,ambiguous,15,1,4,,2,above,1,2,subject,singular,The carrot above the spade is on number 1.,E28_1_1.jpg,E28_1_2.jpg,Y
76,1,X74,9,,,,,,,,2,,,3,,1,1,VP object,singular,"On number 2, there is a stool.",X74_9_1.jpg,X74_9_2.jpg,N
76,2,X74,9,,,,,,,,2,,,3,,1,1,VP object,singular,"On number 2, there is a stool.",X74_9_1.jpg,X74_9_2.jpg,N
76,3,X74,9,,,,,,,,2,,,3,,1,1,VP object,singular,"On number 2, there is a stool.",X74_9_1.jpg,X74_9_2.jpg,N
76,4,X74,9,,,,,,,,2,,,3,,1,1,VP object,singular,"On number 2, there is a stool.",X74_9_1.jpg,X74_9_2.jpg,N
77,1,X41,9,,,,,,,,5,,,2,,1,1,VP object,plural,"On number 5, there are helmets.",X41_9_1.jpg,X41_9_2.jpg,N
77,2,X41,9,,,,,,,,5,,,2,,1,1,VP object,plural,"On number 5, there are helmets.",X41_9_1.jpg,X41_9_2.jpg,N
77,3,X41,9,,,,,,,,5,,,2,,1,1,VP object,plural,"On number 5, there are helmets.",X41_9_1.jpg,X41_9_2.jpg,N
77,4,X41,9,,,,,,,,5,,,2,,1,1,VP object,plural,"On number 5, there are helmets.",X41_9_1.jpg,X41_9_2.jpg,N
78,1,29,4,2,2,2,leeks,spanners,ambiguous,14,5,6,,3,next to,1,2,subject,plural,The leeks next to the spanners are on number 5.,E29_4_1.jpg,E29_4_2.jpg,Y
78,2,29,1,1,1,1,leek,spanner,ambiguous,14,5,6,,3,next to,1,2,subject,singular,The leek next to the spanner is on number 5.,E29_1_1.jpg,E29_1_2.jpg,Y
78,3,29,2,1,2,1,leeks,spanner,unambiguous,14,5,6,,3,next to,1,2,subject,plural,The leeks next to the spanner are on number 5.,E29_2_1.jpg,E29_2_2.jpg,Y
78,4,29,3,2,1,2,leek,spanners,unambiguous,14,5,6,,3,next to,1,2,subject,singular,The leek next to the spanners is on number 5.,E29_3_1.jpg,E29_3_2.jpg,Y
79,1,X78,9,,,,,,,,6,3,,2,above,2,2,PP object,singular,"The sofa is on number 3, above the beekeeper.",X78_9_1.jpg,X78_9_2.jpg,N
79,2,X78,9,,,,,,,,6,3,,2,above,2,2,PP object,singular,"The sofa is on number 3, above the beekeeper.",X78_9_1.jpg,X78_9_2.jpg,N
79,3,X78,9,,,,,,,,6,3,,2,above,2,2,PP object,singular,"The sofa is on number 3, above the beekeeper.",X78_9_1.jpg,X78_9_2.jpg,N
79,4,X78,9,,,,,,,,6,3,,2,above,2,2,PP object,singular,"The sofa is on number 3, above the beekeeper.",X78_9_1.jpg,X78_9_2.jpg,N
80,1,30,2,1,2,1,cans,skirt,unambiguous,5,1,2,,5,next to,1,2,subject,plural,The cans next to the skirt are on number 1.,E30_2_1.jpg,E30_2_2.jpg,Y
80,2,30,3,2,1,2,can,skirts,unambiguous,5,1,2,,5,next to,1,2,subject,singular,The can next to the skirts is on number 1.,E30_3_1.jpg,E30_3_2.jpg,Y
